english,category,arabic
Consolidated income statement,statement_titles,قائمة الدخل الموحدة
Consolidated income statement,statement_titles,بيان الدخل الموحد
Consolidated income statement,statement_titles,قائمة الدخل المجمعة
Income statement,statement_titles,قائمة الدخل
Income statement,statement_titles,بيان الدخل
Statement of profit or loss,statement_titles,قائمة الأرباح أو الخسائر
Statement of profit or loss,statement_titles,قائمة الربح أو الخسارة
Consolidated statement of comprehensive income,statement_titles,قائمة الدخل الشامل الموحدة
Consolidated statement of comprehensive income,statement_titles,قائمة الدخل الشامل الموحد
Statement of comprehensive income,statement_titles,قائمة الدخل الشامل
Statement of comprehensive income,statement_titles,بيان الدخل الشامل
Consolidated balance sheet,statement_titles,الميزانية العمومية الموحدة
Consolidated balance sheet,statement_titles,قائمة المركز المالي الموحدة
Consolidated balance sheet,statement_titles,بيان المركز المالي الموحد
Balance sheet,statement_titles,الميزانية العمومية
Balance sheet,statement_titles,قائمة المركز المالي
Balance sheet,statement_titles,بيان المركز المالي
Statement of financial position,statement_titles,قائمة المركز المالي
Statement of financial position,statement_titles,بيان المركز المالي
Consolidated statement of cash flows,statement_titles,قائمة التدفقات النقدية الموحدة
Consolidated statement of cash flows,statement_titles,بيان التدفقات النقدية الموحد
Statement of cash flows,statement_titles,قائمة التدفقات النقدية
Statement of cash flows,statement_titles,بيان التدفقات النقدية
Statement of cash flows,statement_titles,قائمة التدفق النقدي
Consolidated statement of changes in equity,statement_titles,قائمة التغيرات في حقوق الملكية الموحدة
Consolidated statement of changes in equity,statement_titles,قائمة التغيرات في حقوق المساهمين الموحدة
Statement of changes in equity,statement_titles,قائمة التغيرات في حقوق الملكية
Statement of changes in equity,statement_titles,قائمة التغيرات في حقوق المساهمين
Notes to the financial statements,statement_titles,الإيضاحات حول القوائم المالية
Notes to the financial statements,statement_titles,إيضاحات حول القوائم المالية
Notes to the financial statements,statement_titles,الإيضاحات المتممة للقوائم المالية
Trial balance,statement_titles,ميزان المراجعة
General ledger,statement_titles,دفتر الأستاذ العام
General ledger,statement_titles,الأستاذ العام
Financial statements,statement_titles,القوائم المالية
Financial statements,statement_titles,البيانات المالية
Auditor's report,statement_titles,تقرير مراقب الحسابات
Auditor's report,statement_titles,تقرير المدقق
Auditor's report,statement_titles,تقرير المراجع
Condensed consolidated interim financial statements,statement_titles,القوائم المالية المرحلية الموحدة المختصرة
Condensed consolidated interim financial statements,statement_titles,القوائم المالية المرحلية المختصرة الموحدة
Interim financial statements,statement_titles,القوائم المالية المرحلية
Interim financial statements,statement_titles,البيانات المالية المرحلية
Segmental information,statement_titles,المعلومات القطاعية
Segmental information,statement_titles,معلومات القطاعات
Segmental information,statement_titles,التقارير القطاعية
Directors' report,statement_titles,تقرير مجلس الإدارة
Directors' report,statement_titles,تقرير أعضاء مجلس الإدارة
Independent auditor's report,statement_titles,تقرير مراقب الحسابات المستقل
Independent auditor's report,statement_titles,تقرير المدقق المستقل
Independent auditor's report,statement_titles,تقرير المراجع المستقل
Statement of changes in shareholders' equity,statement_titles,قائمة التغيرات في حقوق المساهمين
Statement of changes in shareholders' equity,statement_titles,بيان التغيرات في حقوق المساهمين
Notes,statement_titles,الإيضاحات
Notes,statement_titles,الملاحظات
Notes,statement_titles,إيضاحات
Accounting policies,statement_titles,السياسات المحاسبية
Accounting policies,statement_titles,السياسات المحاسبية المتبعة
Significant accounting policies,statement_titles,السياسات المحاسبية الهامة
Significant accounting policies,statement_titles,أهم السياسات المحاسبية
Significant accounting policies,statement_titles,السياسات المحاسبية الرئيسية
Basis of preparation,statement_titles,أساس الإعداد
Basis of preparation,statement_titles,أسس الإعداد
Basis of preparation,statement_titles,أساس إعداد القوائم المالية
Basis of consolidation,statement_titles,أساس التوحيد
Basis of consolidation,statement_titles,أسس توحيد القوائم المالية
